threshold,auto_cleared_frac,reviewer_utilization,sensitivity_lost
0.99,0.30566666666666664,0.17916912076332384,0.0
0.97,0.4083333333333333,0.1510872683356212,0.0
0.95,0.44633333333333336,0.13660893136023808,0.0
0.9,0.48033333333333333,0.13542039056745947,0.0016806722689075631
0.85,0.48533333333333334,0.13459124381501453,0.000847457627118644
0.8,0.48633333333333334,0.1320290375822949,0.0016750418760469012
0.7,0.49166666666666664,0.1304978006144688,0.0016750418760469012
0.6,0.49166666666666664,0.1304978006144688,0.0016750418760469012
0.5,0.5,0.128310845282796,0.00847457627118644
0.4,0.5016666666666667,0.13124858071038722,0.007633587786259542
0.3,0.5036666666666667,0.127498727365358,0.015088013411567477
